Swahili,English
(ku)itwa,to be called
(ku)toka,to come from
(ku)kaa,to stay
(ku)andika,to write
(ku)soma,to read
(ku)pika,to cook
(ku)kanya,to do
(ku)penda,to like
(ku)weza,to be able to
(ku)taka,to want
(ku)cheza,to play
(ku)ondoka,to leave
(ku)amka,to wake up
(ku)lala,to sleep
(ku)pumzika,to relax
(ku)ogelea,to swim
(ku)jifunza,to learn
(ku)fundisha,to teach
(ku)sikiliza,to listen
(ku)nunua,to buy
(ku)piga simu,to call
(ku)saidia,to help
(ku)angalia,to look
(kw)enda,to go
(ku)fikiri,to think
(ku)subiri,to wait
(ku)hitaji,to need
(ku)furahi,to be happy
(ku)hesabu,to count
(ku)rudi,to return
(ku)jaribu,to try
(ku)sahau,to forget
(ku)haribu,to destroy
(ku)amini,to believe/trust
(ku)badili,to change
(ku)heshimu,to respect
(ku)jibu,to answer
(ku)samehe,to forgive
(ku)uliza,to question
(ku)omba,to as for something
(ku)onyesha,to show
(ku)sema,to say
(ku)ona,to see
(ku)sikia,to hear
(ku)elewi,to understand 
(ku)jua,to know
(ku)tumia,to use
kula,to eat
kupa,to give
kuwa,to be
kuja,to come
kufa,to die
kunywa,to drink
kunya,to poop